"SUBJID"	"COUNTRY_SELF"
1972	"Albania"
2257	"Albania"
281	"Albania"
1730	"Albania"
1887	"Albania"
265	"Albania"
1674	"Albania"
802	"Albania"
1247	"Albania"
1849	"Austria"
1090	"Austria"
551	"Austria"
1073	"Austria"
501	"Austria"
1787	"Austria"
1842	"Austria"
1261	"Austria"
1331	"Austria"
1083	"Austria"
236	"Austria"
367	"Austria"
916	"Austria"
2059	"Austria"
1961	"Belgium"
1747	"Belgium"
862	"Belgium"
892	"Belgium"
1620	"Belgium"
1399	"Belgium"
1847	"Belgium"
477	"Belgium"
581	"Belgium"
427	"Belgium"
442	"Belgium"
1180	"Belgium"
1156	"Belgium"
126	"Belgium"
1471	"Belgium"
1535	"Belgium"
1772	"Belgium"
727	"Belgium"
2016	"Belgium"
1300	"Belgium"
506	"Belgium"
2013	"Belgium"
1543	"Belgium"
3	"Belgium"
2174	"Belgium"
651	"Belgium"
73	"Belgium"
1867	"Belgium"
1927	"Belgium"
642	"Belgium"
290	"Belgium"
2107	"Belgium"
784	"Belgium"
609	"Belgium"
410	"Belgium"
1748	"Belgium"
984	"Belgium"
676	"Bosnia"
1540	"Bosnia"
1602	"Bosnia"
2239	"Bosnia"
1353	"Bosnia"
1948	"Bosnia"
1685	"Bosnia"
636	"Bosnia"
183	"Bosnia"
213	"Bulgaria"
1671	"Croatia"
790	"Croatia"
1873	"Croatia"
2027	"Croatia"
2061	"Croatia"
1144	"Croatia"
2211	"Croatia"
611	"Croatia"
1039	"Croatia"
1371	"Cyprus"
1863	"Cyprus"
966	"Cyprus"
1670	"Czech Republic"
667	"Czech Republic"
2015	"Czech Republic"
21	"Czech Republic"
843	"Czech Republic"
1002	"Czech Republic"
585	"Czech Republic"
2005	"Czech Republic"
715	"Czech Republic"
569	"Denmark"
719	"England"
2180	"England"
1805	"England"
1259	"England"
743	"England"
63	"England"
1219	"England"
1760	"England"
304	"England"
25	"England"
2181	"England"
1575	"England"
1211	"England"
1206	"England"
1905	"England"
1365	"England"
2230	"England"
1763	"England"
1875	"England"
61	"England"
2175	"England"
1696	"England"
1026	"Finland"
1799	"France"
1918	"France"
643	"France"
9	"France"
1087	"France"
863	"France"
1749	"France"
1035	"France"
972	"France"
2101	"France"
2178	"France"
1401	"France"
1130	"France"
1279	"France"
317	"France"
626	"France"
1951	"France"
2219	"France"
1593	"France"
2084	"France"
300	"France"
828	"France"
1349	"France"
1350	"France"
2064	"France"
1737	"France"
57	"France"
2253	"France"
471	"France"
1163	"France"
1701	"France"
607	"France"
75	"France"
1262	"France"
2194	"France"
1310	"France"
688	"France"
747	"France"
240	"France"
1886	"France"
1964	"France"
835	"France"
226	"France"
1668	"France"
1627	"France"
289	"France"
1194	"France"
564	"France"
685	"France"
159	"France"
1304	"France"
1835	"France"
1775	"France"
1215	"France"
2002	"France"
762	"France"
421	"France"
1865	"France"
1030	"France"
325	"France"
1047	"France"
525	"France"
545	"France"
1374	"France"
2049	"France"
927	"France"
1870	"France"
1756	"France"
2036	"France"
100	"France"
1297	"France"
1929	"France"
911	"France"
241	"France"
706	"France"
648	"France"
1446	"France"
1414	"France"
1197	"France"
721	"France"
2108	"France"
1199	"France"
1085	"France"
1264	"France"
54	"France"
1986	"France"
1141	"Germany"
1078	"Germany"
1561	"Germany"
1434	"Germany"
567	"Germany"
687	"Germany"
1355	"Germany"
224	"Germany"
279	"Germany"
4	"Germany"
1392	"Germany"
1200	"Germany"
1879	"Germany"
881	"Germany"
